,Вакансия,Оплата_min,Оплата_max,Валюта,Сылка на вакансию,Источник
76,"Бэкенд-разработчик (Python)/Middle Python/ Python Developer ,Remote",150.0,220.0,руб.,https://krasnodar.hh.ru/vacancy/48424035?from=vacancy_search_list&query=Python,https://hh.ru
77,Системный программист (Python),,150.0,руб.,https://krasnodar.hh.ru/vacancy/47888320?from=vacancy_search_list&query=Python,https://hh.ru
78,Senior Python Developer,180.0,,руб.,https://krasnodar.hh.ru/vacancy/48419773?from=vacancy_search_list&query=Python,https://hh.ru
79,Python Developer/DevOps,,,,https://krasnodar.hh.ru/vacancy/48479698?from=vacancy_search_list&query=Python,https://hh.ru
80,Middle Python Developer,,,,https://krasnodar.hh.ru/vacancy/46215117?from=vacancy_search_list&query=Python,https://hh.ru
81,Программист Python,30.0,50.0,руб.,https://krasnodar.hh.ru/vacancy/46265638?from=vacancy_search_list&query=Python,https://hh.ru
82,Python Developer,,,,https://krasnodar.hh.ru/vacancy/46788250?from=vacancy_search_list&query=Python,https://hh.ru
83,Разработчик Python (backend),80.0,150.0,руб.,https://krasnodar.hh.ru/vacancy/45157245?from=vacancy_search_list&query=Python,https://hh.ru
84,"Бэк-энд разработчик (Python, SQL)",100.0,160.0,руб.,https://krasnodar.hh.ru/vacancy/41095804?from=vacancy_search_list&query=Python,https://hh.ru
85,Программист Python,,,,https://krasnodar.hh.ru/vacancy/48419048?from=vacancy_search_list&query=Python,https://hh.ru
86,Старший разработчик Python,,,,https://krasnodar.hh.ru/vacancy/47494013?from=vacancy_search_list&query=Python,https://hh.ru
87,Программист Python (прикладная математика),30.0,,руб.,https://krasnodar.hh.ru/vacancy/48411370?from=vacancy_search_list&query=Python,https://hh.ru
88,Python developer,,,,https://krasnodar.hh.ru/vacancy/46705549?from=vacancy_search_list&query=Python,https://hh.ru
89,Python developer (Middle),,,,https://krasnodar.hh.ru/vacancy/47880472?from=vacancy_search_list&query=Python,https://hh.ru
90,Data scientist,200.0,,руб.,https://krasnodar.hh.ru/vacancy/48276976?from=vacancy_search_list&query=Python,https://hh.ru
91,Python разработчик,,,,https://krasnodar.hh.ru/vacancy/48472930?from=vacancy_search_list&query=Python,https://hh.ru
92,Data Scientist,100.0,250.0,руб.,https://krasnodar.hh.ru/vacancy/44350010?from=vacancy_search_list&query=Python,https://hh.ru
93,Middle Python Developer,100.0,140.0,руб.,https://krasnodar.hh.ru/vacancy/44818284?from=vacancy_search_list&query=Python,https://hh.ru
94,Ведущий Python разработчик,300.0,,руб.,https://krasnodar.hh.ru/vacancy/48395346?from=vacancy_search_list&query=Python,https://hh.ru
95,Senior Backend Developer (Python),220.0,,руб.,https://krasnodar.hh.ru/vacancy/47957723?from=vacancy_search_list&query=Python,https://hh.ru
